Datetime (UTC),Datetime (Local),Capacity factor,Hour,Month,Year,Day
2016-01-11 13:00:00,2016-01-11 14:00:00,0.359,14,1,2016,11
2016-01-11 14:00:00,2016-01-11 15:00:00,0.292,15,1,2016,11
2016-01-11 15:00:00,2016-01-11 16:00:00,0.178,16,1,2016,11
2016-01-11 16:00:00,2016-01-11 17:00:00,0.035,17,1,2016,11
2016-01-11 17:00:00,2016-01-11 18:00:00,0.0,18,1,2016,11
2016-01-11 18:00:00,2016-01-11 19:00:00,0.0,19,1,2016,11
2016-01-11 19:00:00,2016-01-11 20:00:00,0.0,20,1,2016,11
2016-01-11 20:00:00,2016-01-11 21:00:00,0.0,21,1,2016,11
2016-01-11 21:00:00,2016-01-11 22:00:00,0.0,22,1,2016,11
2016-01-11 22:00:00,2016-01-11 23:00:00,0.0,23,1,2016,11
2016-01-11 23:00:00,2016-01-12 00:00:00,0.0,0,1,2016,12
2016-01-12 00:00:00,2016-01-12 01:00:00,0.0,1,1,2016,12
2016-01-12 01:00:00,2016-01-12 02:00:00,0.0,2,1,2016,12
2016-01-12 02:00:00,2016-01-12 03:00:00,0.0,3,1,2016,12
2016-01-12 03:00:00,2016-01-12 04:00:00,0.0,4,1,2016,12
2016-01-12 04:00:00,2016-01-12 05:00:00,0.0,5,1,2016,12
2016-01-12 05:00:00,2016-01-12 06:00:00,0.0,6,1,2016,12
2016-01-12 06:00:00,2016-01-12 07:00:00,0.0,7,1,2016,12
2016-01-12 07:00:00,2016-01-12 08:00:00,0.007,8,1,2016,12
2016-01-12 08:00:00,2016-01-12 09:00:00,0.101,9,1,2016,12
2016-01-12 09:00:00,2016-01-12 10:00:00,0.237,10,1,2016,12
2016-01-12 10:00:00,2016-01-12 11:00:00,0.355,11,1,2016,12
2016-01-12 11:00:00,2016-01-12 12:00:00,0.434,12,1,2016,12
2016-01-12 12:00:00,2016-01-12 13:00:00,0.446,13,1,2016,12
2016-01-12 13:00:00,2016-01-12 14:00:00,0.398,14,1,2016,12
2016-01-12 14:00:00,2016-01-12 15:00:00,0.314,15,1,2016,12
2016-01-12 15:00:00,2016-01-12 16:00:00,0.192,16,1,2016,12
2016-01-12 16:00:00,2016-01-12 17:00:00,0.045,17,1,2016,12
2016-01-12 17:00:00,2016-01-12 18:00:00,0.0,18,1,2016,12
2016-01-12 18:00:00,2016-01-12 19:00:00,0.0,19,1,2016,12
2016-01-12 19:00:00,2016-01-12 20:00:00,0.0,20,1,2016,12
2016-01-12 20:00:00,2016-01-12 21:00:00,0.0,21,1,2016,12
2016-01-12 21:00:00,2016-01-12 22:00:00,0.0,22,1,2016,12
2016-01-12 22:00:00,2016-01-12 23:00:00,0.0,23,1,2016,12
2016-01-12 23:00:00,2016-01-13 00:00:00,0.0,0,1,2016,13
2016-01-13 00:00:00,2016-01-13 01:00:00,0.0,1,1,2016,13
2016-01-13 01:00:00,2016-01-13 02:00:00,0.0,2,1,2016,13
2016-01-13 02:00:00,2016-01-13 03:00:00,0.0,3,1,2016,13
2016-01-13 03:00:00,2016-01-13 04:00:00,0.0,4,1,2016,13
2016-01-13 04:00:00,2016-01-13 05:00:00,0.0,5,1,2016,13
2016-01-13 05:00:00,2016-01-13 06:00:00,0.0,6,1,2016,13
